Maze Type, Resolution, Solving Time, Short Corridors, Medium Corridors, Long Corridors, Seed
RecursiveDivision,32x32,2.439499,339,255,3,881795173
RecursiveDivision,32x32,12.82978,288,273,3,204338692
RecursiveDivision,32x32,1.955509,349,242,1,237559256
RecursiveDivision,32x32,1.780987,313,262,1,727969593
RecursiveDivision,32x32,14.43338,355,235,3,249347401
RecursiveDivision,32x32,1.030922,350,249,0,990213470
RecursiveDivision,32x32,1.009464,341,241,3,792911318
RecursiveDivision,32x32,10.6039,352,238,2,874346909
RecursiveDivision,32x32,1.889706,337,261,0,318871651
RecursiveDivision,32x32,1.418114,305,242,2,233586375
RecursiveBacktracker,32x32,1.372337,258,264,3,263398161
RecursiveBacktracker,32x32,9.842873,298,252,3,494577840
RecursiveBacktracker,32x32,17.90714,290,254,3,251465709
RecursiveBacktracker,32x32,20.6461,272,265,3,102667817
RecursiveBacktracker,32x32,20.70522,266,264,5,77340107
RecursiveBacktracker,32x32,10.27536,292,249,1,360277367
RecursiveBacktracker,32x32,19.53745,305,245,3,557019211
RecursiveBacktracker,32x32,19.40346,300,257,4,247882879
RecursiveBacktracker,32x32,9.81617,261,257,6,527842180
RecursiveBacktracker,32x32,9.890079,280,248,5,488505222
Prims,32x32,0.8974075,272,230,7,28263374
Prims,32x32,1.099586,271,246,7,507776950
Prims,32x32,1.540184,257,252,3,799418297
Prims,32x32,1.998425,278,240,3,4989108
Prims,32x32,1.066208,278,241,3,315010022
Prims,32x32,0.8163452,292,234,2,597429531
Prims,32x32,1.528263,259,239,6,673842467
Prims,32x32,1.922131,266,235,7,974866509
Prims,32x32,1.554966,257,241,8,69986413
Prims,32x32,1.493931,273,243,4,747287688
